Date,TotalSales,Time,Year,Month,Hour,Day
10,0.0,10-10-2014 00:0010-10-2014 01:0010-10-2014 02:0010-10-2014 03:0010-10-2014 04:0010-10-2014 05:0010-10-2014 06:0010-10-2014 22:0010-10-2014 23:0010-10-2015 00:0010-10-2015 01:0010-10-2015 02:0010-10-2015 03:0010-10-2015 04:0010-10-2015 05:0010-10-2015 06:0010-10-2015 07:0010-10-2015 21:0010-10-2015 22:0010-10-2015 23:0010-10-2016 00:0010-10-2016 01:0010-10-2016 02:0010-10-2016 03:0010-10-2016 04:0010-10-2016 05:0010-10-2016 06:0010-10-2016 07:0010-10-2016 11:0010-10-2016 22:0010-10-2016 23:0010-10-2017 00:0010-10-2017 01:0010-10-2017 02:0010-10-2017 03:0010-10-2017 04:0010-10-2017 05:0010-10-2017 06:0010-10-2017 13:0010-10-2017 15:0010-10-2017 17:0010-10-2017 22:0010-10-2017 23:0010-10-2018 00:0010-10-2018 01:0010-10-2018 02:0010-10-2018 03:0010-10-2018 04:0010-10-2018 05:0010-10-2018 06:0010-10-2018 07:0010-10-2018 22:0010-10-2018 23:00,20142014201420142014201420142014201420152015201520152015201520152015201520152015201620162016201620162016201620162016201620162017201720172017201720172017201720172017201720172018201820182018201820182018201820182018,1010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,428,FridayFridayFridayFridayFridayFridayFridayFridayFridaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdayMondayMondayMondayMondayMondayMondayMondayMondayMondayMondayMondayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesday
10,1.0,10-10-2014 07:0010-10-2016 08:0010-10-2016 09:0010-10-2016 15:0010-10-2016 18:0010-10-2017 07:0010-10-2018 13:0010-10-2018 14:00,20142016201620162016201720182018,1010101010101010,91,FridayMondayMondayMondayMondayTuesdayWednesdayWednesday
10,1.6,10-10-2016 10:00,2016,10,10,Monday
10,2.0,10-10-2014 20:0010-10-2015 11:0010-10-2016 16:0010-10-2017 11:0010-10-2017 14:0010-10-2017 21:00,201420152016201720172017,101010101010,93,FridaySaturdayMondayTuesdayTuesdayTuesday
10,2.1,10-10-2018 21:00,2018,10,21,Wednesday
10,2.33,10-10-2015 09:0010-10-2015 15:00,20152015,1010,24,SaturdaySaturday
10,2.4,10-10-2014 14:00,2014,10,14,Friday
10,2.5,10-10-2014 18:00,2014,10,18,Friday
10,2.7399999999999998,10-10-2014 09:00,2014,10,9,Friday
10,3.0,10-10-2014 21:0010-10-2016 14:0010-10-2017 20:0010-10-2018 16:00,2014201620172018,10101010,71,FridayMondayTuesdayWednesday
10,3.33,10-10-2015 13:0010-10-2018 17:00,20152018,1010,30,SaturdayWednesday
10,3.34,10-10-2017 18:00,2017,10,18,Tuesday
10,4.0,10-10-2014 12:0010-10-2015 16:0010-10-2015 18:0010-10-2016 13:0010-10-2017 10:00,20142015201520162017,1010101010,69,FridaySaturdaySaturdayMondayTuesday
10,4.34,10-10-2014 11:00,2014,10,11,Friday
10,5.0,10-10-2015 19:0010-10-2016 12:0010-10-2017 09:0010-10-2018 11:0010-10-2018 19:00,20152016201720182018,1010101010,70,SaturdayMondayTuesdayWednesdayWednesday
10,6.0,10-10-2014 08:0010-10-2014 17:0010-10-2014 19:0010-10-2016 17:0010-10-2016 19:0010-10-2017 19:00,201420142014201620162017,101010101010,99,FridayFridayFridayMondayMondayTuesday
10,6.3,10-10-2015 14:00,2015,10,14,Saturday
10,7.0,10-10-2016 20:0010-10-2018 09:00,20162018,1010,29,MondayWednesday
10,7.34,10-10-2018 08:00,2018,10,8,Wednesday
10,8.0,10-10-2014 10:0010-10-2014 15:0010-10-2015 08:0010-10-2015 20:00,2014201420152015,10101010,53,FridayFridaySaturdaySaturday
10,9.0,10-10-2017 12:00,2017,10,12,Tuesday
10,9.34,10-10-2018 18:00,2018,10,18,Wednesday
10,10.0,10-10-2015 17:0010-10-2017 08:00,20152017,1010,25,SaturdayTuesday
10,10.065999999999999,10-10-2016 21:00,2016,10,21,Monday
10,10.34,10-10-2014 13:00,2014,10,13,Friday
10,11.0,10-10-2018 15:00,2018,10,15,Wednesday
10,12.0,10-10-2014 16:0010-10-2015 12:00,20142015,1010,28,FridaySaturday
10,12.2,10-10-2018 12:00,2018,10,12,Wednesday
10,14.33,10-10-2015 10:00,2015,10,10,Saturday
10,14.34,10-10-2017 16:00,2017,10,16,Tuesday
10,15.0,10-10-2018 10:0010-10-2018 20:00,20182018,1010,30,WednesdayWednesday
11,0.0,11-10-2014 00:0011-10-2014 01:0011-10-2014 02:0011-10-2014 03:0011-10-2014 04:0011-10-2014 05:0011-10-2014 06:0011-10-2014 07:0011-10-2014 09:0011-10-2014 22:0011-10-2014 23:0011-10-2015 00:0011-10-2015 01:0011-10-2015 02:0011-10-2015 03:0011-10-2015 04:0011-10-2015 05:0011-10-2015 06:0011-10-2015 07:0011-10-2015 22:0011-10-2015 23:0011-10-2016 00:0011-10-2016 01:0011-10-2016 02:0011-10-2016 03:0011-10-2016 04:0011-10-2016 05:0011-10-2016 06:0011-10-2016 07:0011-10-2016 22:0011-10-2016 23:0011-10-2017 00:0011-10-2017 01:0011-10-2017 02:0011-10-2017 03:0011-10-2017 04:0011-10-2017 05:0011-10-2017 06:0011-10-2017 07:0011-10-2017 22:0011-10-2017 23:0011-10-2018 00:0011-10-2018 01:0011-10-2018 02:0011-10-2018 03:0011-10-2018 04:0011-10-2018 05:0011-10-2018 06:0011-10-2018 21:0011-10-2018 22:0011-10-2018 23:00,201420142014201420142014201420142014201420142015201520152015201520152015201520152015201620162016201620162016201620162016201620172017201720172017201720172017201720172018201820182018201820182018201820182018,101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,388,MondayMondayMondayMondayMondayMondayMondayMondayMondayMondayMondayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayFridayFridayFridayFridayFridayFridayFridayFridayFridayFridaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturday
11,0.63,11-10-2014 21:0011-10-2018 08:00,20142018,1010,29,MondaySaturday
11,1.0,11-10-2014 10:0011-10-2014 19:0011-10-2015 11:0011-10-2017 13:0011-10-2017 16:0011-10-2018 15:0011-10-2018 16:0011-10-2018 19:00,20142014201520172017201820182018,1010101010101010,119,MondayMondayTuesdayFridayFridaySaturdaySaturdaySaturday
11,1.33,11-10-2017 17:00,2017,10,17,Friday
11,1.4,11-10-2018 18:00,2018,10,18,Saturday
11,2.0,11-10-2014 15:0011-10-2016 17:0011-10-2017 18:0011-10-2018 07:00,2014201620172018,10101010,57,MondayThursdayFridaySaturday
11,2.3,11-10-2014 16:00,2014,10,16,Monday
